international_plan,voice_mail_plan,number_vmail_messages,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,total_net_minutes,total_net_calls,total_net_charge
1,0,0.0,12.4,3.0,3.35,1,595.9,315.0,57.269999999999996
0,1,35.0,12.4,5.0,3.35,1,602.9,308.0,59.35
0,1,17.0,11.3,5.0,3.05,0,625.5999999999999,283.0,61.81
0,0,0.0,3.4,4.0,0.92,1,602.7,309.0,59.13
0,0,0.0,8.3,7.0,2.24,1,539.9000000000001,334.0,51.32
0,0,0.0,15.1,2.0,4.08,1,525.4,325.0,40.14
0,1,34.0,12.3,5.0,3.32,1,575.0,313.0,53.980000000000004
0,0,0.0,8.9,4.0,2.4,4,478.5,272.0,41.760000000000005
0,0,0.0,11.4,3.0,3.08,2,659.7,321.0,59.959999999999994
0,0,0.0,12.8,6.0,3.46,3,527.5,253.0,51.59
0,0,0.0,10.2,2.0,2.75,5,539.3000000000001,329.0,49.52
0,0,0.0,3.5,6.0,0.95,3,642.6,332.0,66.89
1,1,25.0,13.0,5.0,3.51,1,720.3,305.0,76.62
0,0,0.0,10.9,2.0,2.94,1,608.7,321.0,58.07
0,1,37.0,9.5,5.0,2.57,2,628.2,305.0,60.480000000000004
0,0,0.0,10.0,5.0,2.7,1,582.3,288.0,51.5
0,0,0.0,12.8,1.0,3.46,0,548.8,303.0,48.669999999999995
0,1,34.0,6.1,10.0,1.65,1,552.8,292.0,52.24999999999999
0,0,0.0,10.3,2.0,2.78,2,541.3,328.0,45.28
0,1,33.0,8.6,3.0,2.32,1,617.6,312.0,53.03
0,0,0.0,12.7,3.0,3.43,2,642.4,296.0,68.38
0,0,0.0,16.0,2.0,4.32,1,498.2,330.0,48.21
0,0,0.0,5.9,2.0,1.59,3,503.5,272.0,44.31
0,1,10.0,10.0,3.0,2.7,2,449.9,310.0,43.82000000000001
0,0,0.0,14.5,2.0,3.92,3,419.6,327.0,41.07
0,0,0.0,7.0,3.0,1.89,1,655.0,327.0,58.769999999999996
0,0,0.0,13.8,3.0,3.73,3,712.5999999999999,304.0,71.74000000000001
0,0,0.0,5.3,3.0,1.43,1,425.79999999999995,331.0,45.269999999999996
0,0,0.0,11.2,5.0,3.02,2,559.6,375.0,51.95
0,0,0.0,10.4,5.0,2.81,0,608.0,338.0,57.540000000000006
0,0,0.0,8.2,6.0,2.21,1,487.5,253.0,42.48
1,0,0.0,9.9,3.0,2.67,2,520.2,318.0,50.43
0,0,0.0,8.7,10.5,2.35,2,575.5,284.0,55.129999999999995
0,0,0.0,6.8,3.0,1.84,2,561.4000000000001,339.0,59.67999999999999
0,0,0.0,8.2,2.0,2.21,1,536.2,326.0,64.08999999999999
0,0,0.0,13.3,9.0,3.59,0,554.2,289.0,51.07
0,0,0.0,12.9,3.0,3.48,4,594.5,339.0,65.56
0,0,0.0,11.5,1.0,3.11,1,620.9,295.0,58.99
0,0,0.0,7.6,5.0,2.05,2,574.3,255.0,59.96
0,0,0.0,10.6,2.0,2.86,0,610.4,267.0,57.18000000000001
0,1,21.0,7.2,6.0,1.94,1,689.9,289.0,68.08
0,1,31.0,11.4,5.0,3.08,2,607.5,273.0,54.69
0,0,0.0,10.8,1.0,2.92,2,496.3,279.0,55.2
0,0,0.0,13.0,4.0,3.51,0,547.5,254.0,53.17999999999999
0,0,0.0,13.2,2.0,3.56,1,734.4,305.0,72.94
1,0,0.0,13.2,2.0,3.56,2,648.9,259.0,67.46
0,1,30.0,13.2,8.0,3.56,1,675.1,287.0,69.43
0,0,0.0,8.6,6.0,2.32,3,458.8,285.0,50.39
0,0,0.0,11.7,7.0,3.16,0,724.3,261.0,75.06
0,0,0.0,7.8,4.0,2.11,2,655.4,333.0,69.14
0,1,24.0,8.9,2.0,2.4,3,608.2,262.0,63.24
0,0,0.0,9.5,3.0,2.57,0,651.5,270.0,61.37
0,0,0.0,12.1,3.0,3.27,2,537.1,299.0,56.23
0,0,0.0,6.8,3.0,1.84,1,666.0999999999999,280.0,63.81
0,0,0.0,6.9,5.0,1.86,0,564.9,333.0,45.620000000000005
0,0,0.0,11.9,4.0,3.21,1,808.1125,349.0,85.3175
0,0,0.0,9.8,8.0,2.65,1,494.4,348.0,55.99999999999999
0,0,0.0,10.1,3.0,2.73,0,644.8,322.0,67.23
0,1,20.0,14.3,9.0,3.86,1,663.5999999999999,241.0,65.68
0,0,0.0,10.9,5.0,2.94,0,584.5500000000001,338.0,63.155
0,0,0.0,7.7,5.0,2.08,0,585.3,391.0,56.35
0,1,23.0,7.2,6.0,1.94,1,623.5,308.0,69.96000000000001
0,0,0.0,8.8,2.0,2.38,1,489.8,283.0,50.190000000000005
0,0,0.0,10.7,2.0,2.89,1,490.09999999999997,259.0,46.44
0,0,0.0,11.3,2.0,3.05,2,614.5,289.0,62.81
0,1,27.0,12.3,3.0,3.32,1,495.3,317.0,53.199999999999996
0,1,35.0,7.1,3.0,1.92,0,490.20000000000005,350.0,49.620000000000005
1,1,20.0,14.2,3.0,3.83,9,756.0999999999999,294.0,73.85
0,1,26.0,7.7,3.0,2.08,0,736.8,314.0,73.46000000000001
0,1,26.0,6.6,2.0,1.78,2,637.9000000000001,274.0,59.09
0,1,15.0,14.6,5.0,3.94,1,645.0,286.0,60.57
0,0,0.0,5.4,5.0,1.46,1,611.1,303.0,65.95
0,0,0.0,10.9,4.0,2.94,2,461.4,267.0,43.080000000000005
1,0,0.0,9.4,4.0,2.54,3,513.4,268.0,37.769999999999996
0,0,0.0,12.7,3.0,3.43,2,518.8,275.0,51.190000000000005
0,0,0.0,7.0,3.0,1.89,2,570.9,307.0,56.5
0,0,0.0,14.9,4.0,4.02,1,395.5,267.0,32.56999999999999
0,1,33.0,11.8,8.0,3.19,4,661.1,310.0,72.42
0,1,28.0,11.1,9.0,3.0,1,514.0,268.0,49.66
1,0,0.0,9.8,4.0,2.65,1,641.4,350.0,58.3
1,0,0.0,11.1,9.0,3.0,2,516.0,292.0,49.949999999999996
0,0,0.0,7.2,7.0,1.94,1,670.6,244.0,68.08
0,0,0.0,14.0,2.0,3.78,1,432.0,287.0,35.95
0,1,35.0,10.5,3.0,2.84,2,504.09999999999997,247.0,52.21
0,0,0.0,9.8,3.0,2.65,1,631.4000000000001,325.0,63.33
0,1,23.0,9.8,4.0,2.65,0,636.5999999999999,281.0,64.26
0,0,0.0,5.8,7.0,1.57,2,747.9,243.0,67.38
0,0,0.0,9.1,3.0,2.46,0,629.9,329.0,67.99
0,0,0.0,7.1,8.0,1.92,3,576.4,288.0,58.38000000000001
0,0,0.0,11.1,6.0,3.0,2,656.9000000000001,293.0,71.11
0,1,35.0,11.8,2.0,3.19,2,490.9,311.0,43.529999999999994
0,0,0.0,11.3,6.0,3.05,1,571.6,318.0,59.69
0,0,0.0,14.4,2.0,3.89,4,617.6,322.0,64.02
0,0,0.0,11.8,4.0,3.19,1,620.9,301.0,63.28
1,0,0.0,11.2,10.5,3.02,0,522.7,354.0,51.43
0,0,0.0,9.0,3.0,2.43,3,470.20000000000005,293.0,52.67
1,0,0.0,8.9,5.0,2.4,0,542.8,271.0,51.68
0,0,0.0,13.2,6.0,3.56,5,684.0999999999999,330.0,61.67
0,0,0.0,17.25,5.0,4.65,1,501.7,325.0,53.33
0,0,0.0,9.7,4.0,2.62,3,435.2,312.0,38.67
0,0,0.0,10.8,10.5,2.92,1,724.0,372.0,70.1
0,1,26.0,13.3,5.0,3.59,1,471.79999999999995,312.0,44.28
0,0,0.0,9.2,3.0,2.48,0,652.4,264.0,55.47
0,0,0.0,9.9,7.0,2.67,1,542.5,367.0,52.61
0,0,0.0,11.6,3.0,3.13,1,416.1,308.0,45.379999999999995
0,0,0.0,10.4,4.0,2.81,2,509.5,329.0,38.620000000000005
0,0,0.0,13.4,4.0,3.62,0,777.1999999999999,309.0,81.2
0,1,40.0,8.8,2.0,2.38,1,706.5,343.0,73.61999999999999
0,0,0.0,5.3,3.0,1.43,1,876.9,298.0,87.88
0,1,31.0,11.5,3.0,3.11,0,600.5,298.0,58.36
0,0,0.0,7.7,2.0,2.08,2,502.4,277.0,58.34
0,0,0.0,10.9,2.0,2.94,3,510.1,329.0,49.849999999999994
0,0,0.0,11.8,3.0,3.19,0,516.9000000000001,279.0,50.71
0,1,35.0,14.6,1.0,3.94,1,400.6,242.0,33.5
0,0,0.0,14.1,3.0,3.81,2,669.5,305.0,60.76
0,0,0.0,11.2,10.5,3.02,2,536.7,328.0,51.36
0,1,37.0,5.1,6.0,1.38,0,517.9,331.0,55.86000000000001
0,1,40.0,7.1,4.0,1.92,0,680.0,284.0,66.47
0,1,31.0,7.7,4.0,2.08,3,681.5,244.0,69.32
0,1,26.0,14.8,7.0,4.0,0,601.4,308.0,54.54
1,0,0.0,9.7,1.0,2.62,0,585.5,348.0,56.02
0,0,0.0,11.3,5.0,3.05,4,655.7,340.0,65.46
0,0,0.0,6.2,4.0,1.67,2,599.4,268.0,63.220000000000006
0,1,26.0,9.9,2.0,2.67,1,503.1,293.0,48.559999999999995
1,0,0.0,10.4,9.0,2.81,2,525.7,338.0,52.260000000000005
0,0,0.0,11.8,4.0,3.19,0,518.5,298.0,47.540000000000006
0,0,0.0,10.9,3.0,2.94,1,747.3000000000001,255.0,78.21
0,0,0.0,10.9,5.0,2.94,1,482.4,207.0,45.089999999999996
0,1,14.0,7.5,8.0,2.03,1,508.8,297.0,45.169999999999995
0,1,33.0,11.9,4.0,3.21,3,558.2,304.0,65.16
0,1,25.0,12.2,2.0,3.29,1,448.1,323.0,48.57999999999999
0,0,0.0,9.8,5.0,2.65,3,544.7,320.0,56.660000000000004
0,1,27.0,12.5,5.0,3.38,1,620.9,356.0,62.74
0,0,0.0,9.7,6.0,2.62,1,644.9000000000001,324.0,62.31
0,1,34.0,13.3,3.0,3.59,1,347.5,263.0,26.619999999999997
0,0,0.0,13.0,6.0,3.51,0,526.4,257.0,45.25
0,0,0.0,16.2,2.0,4.37,2,479.1,337.0,49.54
0,1,29.0,7.5,5.0,2.03,2,774.2125,363.0,66.27625
0,0,0.0,12.9,2.0,3.48,2,565.1,318.0,49.71
0,1,16.0,12.1,2.0,3.27,0,607.1,305.0,52.82000000000001
0,1,31.0,9.5,7.0,2.57,6,586.0,263.0,54.2
0,0,0.0,10.3,3.0,2.78,1,587.2,280.0,54.47
0,1,40.0,12.2,2.0,3.29,1,612.3,282.0,58.06999999999999
0,0,0.0,6.6,5.0,1.78,1,601.6,321.0,63.10999999999999
0,0,0.0,9.8,4.0,2.65,2,497.1,301.0,49.13000000000001
1,1,29.0,17.0,6.0,4.59,1,696.2,310.0,70.48
0,1,27.0,12.8,4.0,3.46,1,648.6,315.0,64.5
1,0,0.0,13.8,3.0,3.73,2,462.5,269.0,43.65
0,0,0.0,7.6,3.0,2.05,2,650.5999999999999,218.5,57.44
0,0,0.0,7.9,1.0,2.13,3,593.4,320.0,60.67
0,0,0.0,10.5,7.0,2.84,3,467.20000000000005,362.0,50.59
0,0,0.0,7.2,4.0,1.94,1,712.0999999999999,377.0,66.67999999999999
1,0,0.0,17.25,9.0,4.65,1,473.1,353.0,53.78
0,1,29.0,4.9,3.0,1.32,1,408.4,327.0,28.86
0,1,27.0,10.6,4.0,2.86,1,655.0,302.0,63.230000000000004
0,0,0.0,9.1,4.0,2.46,0,564.2,318.0,54.0
0,1,40.0,9.3,4.0,2.51,2,663.8,329.0,66.17
0,0,0.0,12.1,9.0,3.27,0,737.5,254.0,69.79
